Marca,Modelo,Año,Combustible,Kilometraje,Precio,Stock,Tipo
Toyota,Yaris,2020,Gasolina,45000,8990000,1,Sedán
Suzuki,Swift,2019,Gasolina,62000,6490000,1,Hatchback
Chevrolet,Captiva,2018,Diesel,88000,9800000,1,SUV
Hyundai,Tucson,2021,Gasolina,31000,13500000,1,SUV
Ford,Ranger,2019,Diesel,75000,14990000,2,Camioneta
Fiat,Uno Way 1.4,2017,Gasolina,131500,4990000,1,Hatchback
Citroën,C3,2018,Diesel,13000,7200000,1,Hatchback
Nissan,Kicks,2022,Gasolina,18000,12800000,1,SUV
Kia,Sportage,2020,Gasolina,52000,11900000,1,SUV
Volkswagen,Gol,2018,Gasolina,70000,5800000,1,Sedán
Fiat,Strada Adventure,2016,Gasolina,92800,5490000,1,Camioneta
DFM,Joyear X3 Luxury 1.6,2019,Gasolina,118000,6990000,1,SUV
